name,category,cost,platform,genre_focus,submission_method,contact,requirements,reach,why,sources,confidence,last_verified
Infectious PR,pr,paid,web,dance; electronic; house; pop,email,newbiz@infectiouspr.com,Email newbiz@infectiouspr.com with artist info and a streaming link to your music | Briefly describe your project and campaign goals,"Global media network; BBC, Forbes, Billboard, Apple Music, Spotify coverage capacity","Bristol-based marketing and PR agency (founded 2009, 30 years combined experience) with global media network including BBC, Forbes, Billboard, Apple Music, and Spotify; explicitly invites new project inquiries from emerging artists via their public new-business email.",https://infectiouspr.com/,high,2026-06-01
Motormouthmedia,pr,paid,web,electronic; indie electronic; underground dance,email,submissions@motormouthmedia.com,Email submissions@motormouthmedia.com with project info and a streaming link | High submission volume — no reply indicates project is not a fit,US and international indie/electronic tastemaker press; established booking and label contacts,"LA/Brooklyn boutique PR firm (founded late 1990s) that has championed underground electronic acts since the beginning — was the first American independent PR firm to represent Warp Records, Ninja Tune, Planet Mu; broke Four Tet, Caribou, Flying Lotus from day one; accepts new inquiries.",http://www.motormouthmedia.com/contact; http://www.motormouthmedia.com/about,high,2026-06-01
Dispersion PR,pr,paid,web,house; tech house; techno; electronic,email,info@dispersionpr.com,Email info@dispersionpr.com with artist/release info | Include streaming link and campaign goals | Specify release date and label context,"UK and European press, radio, and club circuit; BBC Radio 1 Dance history","UK specialist electronic music PR firm (founded 2007 by Julian Shay and Dean Muhsin) offering press, radio, and club promo for artists and labels. Client history includes Hot Creations, Crosstown Rebels, Cocoon, Defected, Laurent Garnier, Michael Bibi, Chris Liebing — working with Dispersion signals credibility in the underground house/techno circuit.",https://www.dispersionpr.com/; https://rocketreach.co/dispersion-pr-profile_b5d36282f42e46a9,medium,2026-06-01
MCPR (Matt Caldwell PR),pr,paid,web,electronic; house; techno; dance,email,info@mattcaldwell.co.uk,"Email info@mattcaldwell.co.uk or use the contact form at mattcaldwell.co.uk/contact/ | Include project details, streaming link, and campaign scope","International electronic music press, radio, and industry network; 12+ years established","Full-service 360-degree electronic music agency (12+ years, global presence) offering PR, radio promo, social media, A&R consultancy, and artist progression — contact email and phone publicly listed; targets both emerging and established electronic artists.",https://www.mattcaldwell.co.uk/contact/; https://www.mattcaldwell.co.uk/,high,2026-06-01
Prescription Music PR,pr,paid,web,electronic; ambient; house; dance,form,https://www.prescriptionmusicpruk.com/general-enquiries,"Submit via the general enquiries form at prescriptionmusicpruk.com/general-enquiries | Include artist info, release details, and campaign objectives","UK, European, and Irish music press and radio","Leading UK electronic and ambient music PR agency with offices in London, Cambridge, and Manchester; explicitly lists electronic music PR among services and has a public inquiry form for new campaign submissions — accessible to independent artists.",https://www.prescriptionmusicpruk.com/electronic-music-pr; https://www.prescriptionmusicpruk.com/contact-us,high,2026-06-01
Groove Magazin – Resident Podcast,podcast,paid,SoundCloud / Mixcloud / web,techno; house; electronic,email,max@groove.de,Email max@groove.de (Events/Podcast contact: Maximilian Fritz) | Pitch yourself as a club resident or party organizer in a specific city/venue | Include streaming link to your mix and relevant club/party context | Note: primary focus is German-speaking regions and Eastern Europe — Tunis-based artists should pitch their regional/local residency angle if applicable,Established German-language electronic music magazine; Mixcloud 50k+ followers; SoundCloud Resident Podcast playlist active,"Berlin-based bi-monthly podcast (episode 064 published June 2026, confirming active status) featuring grassroots underground residents from clubs in German-speaking countries and Eastern Europe — focuses on local club culture figures rather than superstars. Podcast contact is publicly available via editorial email.",https://groove.de/impressum/; https://www.groove.de/category/podcast/groove-resident-podcast/,medium,2026-06-01
Rinse FM,radio,free,FM / web / SoundCloud,house; tech house; dubstep; grime; electronica,email,thelinkup@rinse.fm,Private SoundCloud link only (no file attachments) | Include brief artist bio and genre info,Online + 103.7 FM London; global streaming audience; tens of thousands weekly listeners,Rinse FM is the UK's most influential underground radio station with 30+ years of history. Its shows are curated by individual DJs who actively seek fresh tracks — emailing thelinkup@rinse.fm with a private SoundCloud link is a direct route to DJ inboxes that spin house and tech house.,https://labelsbase.net/rinse; https://www.rinse.fm/,high,2026-06-01
Defected Radio,radio,free,web / Spotify / SoundCloud / podcast,house; deep house; soulful house,portal,demos@defected.com,"Streaming link with download option | Brief bio (1 paragraph) | Social media links | No attachments — streaming link only | Track must be original, not a bootleg or mashup",2M+ SoundCloud followers; Spotify editorial placement; syndicated to 70+ stations,"Defected Radio is the world's most-listened-to house music radio show, syndicated globally. Sending a promo to Defected's demos portal (LabelRadar) is the official route to reaching their A&R and radio team — tracks featured can go on air and to their 2M+ SoundCloud followers.",https://defected.com/demos; https://www.labelradar.com/labels/defected/portal; https://www.beatportal.com/articles/155155-defected-records-is-now-open-for-demo-submissions-via-labelradar,high,2026-06-01
Proton Radio — Bedroom Bedlam,radio,free,web / SoundCloud / Mixcloud,house; tech house; deep house; progressive house; breaks; techno,email,demos@protonradio.com,Private SoundCloud link with downloads enabled | Tracklist formatted as: 01. Artist - Track (Mix) [Label] | Include artist bio and genre info,200+ exclusive shows; global internet radio audience; SoundCloud/Mixcloud archive,Proton Radio is one of the longest-running underground electronic internet radio networks with 200+ exclusive shows. 'Bedroom Bedlam' is specifically the submission-friendly show that airs sets from emerging DJs — it is the documented front door for unknowns.,https://intercom.help/proton-radio/en/articles/2872691-how-do-i-get-a-mix-or-radio-show-on-proton; https://www.protonradio.com/shows/321/bedroom-bedlam,high,2026-06-01
Frisky Radio — Feelin' Frisky,radio,paid,web / SoundCloud / Mixcloud / podcast,house; tech house; progressive house; deep house; techno,email,submit@friskyradio.com,"MP3 only (no WAV) | 320 kbps quality | Upload to WeTransfer — do NOT use SoundCloud, Mediafire or similar | Include: your name, email, genre of mix, and brief bio | Full 1-hour set required",One of the largest underground electronic internet radio platforms; global audience; podcast distribution,"Frisky Radio is a globally-streamed curated electronic music internet radio. 'Feelin' Frisky' is their dedicated guest slot for emerging DJs — it is the official, documented submission route for artists without an existing residency. A successful set can lead to a full residency offer.",https://frisky.fm/; https://www.friskyradio.com/about/faq,high,2026-06-01
Foundation FM,radio,free,web / SoundCloud / Mixcloud,house; tech house; deep house; electronic; garage,email,ana@foundation.fm,Show/mix proposal describing your concept | SoundCloud or Mixcloud demo link recommended | Include artist bio and social links,London-based online station with growing global listenership; active SoundCloud and Mixcloud presence,Foundation FM is a female-led independent London station championing underrepresented voices and emerging artists in underground electronic music. It actively curates new talent via a dedicated show submissions contact and has a track record of platforming unknowns.,https://foundation.fm/info; https://soundcloud.com/foundation-fm,high,2026-06-01
NTS Radio — Show Proposal / Supporter Radio,radio,freemium,web / SoundCloud / Mixcloud,house; tech house; electronic; experimental; all genres,form,https://www.nts.live/contact,"Show proposal: describe concept in up to 600 characters, list up to 5 genres, provide up to 3 demo links (SoundCloud/Mixcloud/YouTube) | Supporter Radio: must be NTS Supporter (paid subscriber); 55–60 minute mix as MP3; submissions align with an announced theme",Millions of monthly listeners globally; 24/7 streaming; extensive archive,"NTS is one of the world's top independent online radio stations broadcasting 24/7. It has two documented entry routes for unknowns: (1) free show proposals via their website form, and (2) NTS Supporter Radio — a paid subscription scheme that opens mix submission rounds several times per year, with selected mixes broadcast and archived.",https://ntslive.freshdesk.com/support/solutions/articles/77000570099-show-proposals; https://www.nts.live/projects/supporter-radio; https://ntslive.freshdesk.com/support/solutions/articles/77000570080-submitting-a-mix,high,2026-06-01
Worldwide FM,radio,free,web / SoundCloud / Mixcloud,house; deep house; soul; jazz; world; electronic,email,info@worldwidefm.net,"Detailed show proposal: concept, planned guests for 6 months, specialty, genre focus, why it is original | Music submission via streaming link | Show must offer something distinct from existing programming",Global online audience; associated with Gilles Peterson's worldwide network; Mixcloud archive,"Worldwide FM (Gilles Peterson) champions underground and global music culture. Their contact page invites show proposals and music submissions. The station has a history of platforming emerging artists and international talent, making it realistic for a Tunisian producer to pitch a culturally distinctive show concept.",https://www.worldwidefm.net/contact; https://www.worldwidefm.net/about,high,2026-06-01
Ibiza Live Radio — New Talent Show,radio,free,web / FM Ibiza,house; deep house; tech house; electronic,form,https://www.ibizaliveradio.com/music/demo,Upload mix or demo track via upload portal at ibizaliveradio.affekt.de/upload-area | Include artist info and project description | Mix/set format preferred,Online + Ibiza FM; growing international listenership; active social media,"Ibiza Live Radio runs a monthly 'New Talent Show' competition specifically for unknown DJs and producers — the winning mix gets broadcast and the artist is featured as a guest. This is one of the most direct, documented routes for an unknown to get airplay on an Ibiza-branded station.",https://www.ibizaliveradio.com/music/demo; https://www.ibizaliveradio.com/,high,2026-06-01
Ibiza Global Radio,radio,free,FM / web / SoundCloud,house; tech house; electronic; Ibiza club sounds,email,info@ibizaglobalradio.com,"DJ mix or show proposal via email | Include artist bio, SoundCloud/streaming link | Specify genre and concept",100.8 FM Ibiza + global web streaming; 186K+ Instagram followers; international syndication,Ibiza Global Radio is a 24/7 broadcast station (100.8 FM Ibiza) streaming the best international DJs and electronic music. Reaching them via their contact email is a real route to pitch DJ mix shows or promos to their programming team.,https://www.ibizaglobalradio.com/contacts.html; https://www.ibizaglobalradio.com/,medium,2026-06-01
Passion Ibiza Radio,radio,free,web / Mixcloud / SoundCloud,house; soulful house; disco; tech house; deep house; afro house; melodic house,form,https://passionibizaradio.com/submit-a-demo/,"60-minute pre-recorded show or continuous mix | MP3 at 320 kbps | SoundCloud download link | Include name, email, optional Facebook/Instagram links",Online radio with Mixcloud/SoundCloud presence; Ibiza-focused audience; active as of June 2025,"Passion Ibiza Radio has a fully open, documented demo submission form for emerging DJs — one of the most directly accessible Ibiza-branded stations. They actively seek quality house DJs and presenters and accept continuous mix submissions.",https://passionibizaradio.com/submit-a-demo/; https://www.mixcloud.com/passionibizaradio/,high,2026-06-01
BBC Introducing,radio,free,FM / BBC Radio 1 / BBC Radio 6 Music / web,house; electronic; all genres (routed by region/genre),portal,https://www.bbc.co.uk/introducing,"Create a free BBC account | Upload WAV or MP3 file (up to 2 tracks per upload cycle) | Complete artist profile: name, genre, postcode, bio, photo (1920x1080px recommended) | Upload clean version only — no explicit lyrics | Add PRS Tunecode if applicable","BBC Radio 1, Radio 6 Music, 1Xtra, 2, and regional stations; millions of listeners","BBC Introducing is the official BBC pathway for unsigned/emerging artists to reach BBC Radio 1, Radio 6 Music, 1Xtra, and regional BBC stations. Uploaded tracks are reviewed by producers and can be broadcast nationally. The upload portal is free and open to all UK-based or UK-connected artists. Dance/electronic tracks are routed to relevant shows including Radio 1 Dance.",https://dittomusic.com/en/blog/how-to-get-your-music-played-on-bbc-introducing; https://en.wikipedia.org/wiki/BBC_Music_Introducing,high,2026-06-01
Netil Radio,radio,free,web / Mixcloud,house; electronic; underground; experimental,email,hello@netilradio.com,Show proposal describing concept and music policy | Demo mix link (Mixcloud or SoundCloud) | Artist bio and background,Online streaming; Mixcloud archive; London underground music community audience,Netil Radio is a Hackney community station broadcasting from a converted shipping container at Netil Market. It actively platforms emerging and underground artists and accepts show proposals via a documented email address. Its community-first ethos makes it more accessible than major stations.,https://netilradio.com/; https://streema.com/radios/Netil_Radio,medium,2026-06-01
Toolroom Radio,radio,free,"web / Mixcloud / podcast (Apple, Spotify)",tech house; house; techno,portal,https://toolroomrecords.com/demos/,Upload demo via portal at toolroomrecords.com/demos/ | Original productions only (not bootlegs) | Label does not reply to all submissions but will contact if interested,"Global podcast; Apple Podcasts, Spotify; Mixcloud archive; 775+ episodes as of 2025","Toolroom Radio (presented by Mark Knight) is one of the most respected weekly tech house/house radio shows, broadcast globally with guest mix slots. Submitting demos to Toolroom Records via their online portal is the official route to getting tracks featured on the show.",https://toolroomrecords.com/radio/; https://toolroomrecords.com/demos/,high,2026-06-01
Cr2 Live & Direct Radio Show,radio,free,web / SoundCloud / podcast / 70+ FM stations,house; tech house; techno,email,https://cr2records.com/contact/,"Contact via Cr2 Records general contact page | Include streaming link, release info, and artist bio | Original house/tech house tracks suitable for a global radio audience",18M+ weekly listeners; 70+ FM stations; 50+ countries; SoundCloud/podcast,Mark Brown's Cr2 Live & Direct show reaches 18M+ weekly listeners across 70+ stations in 50+ countries — one of the most syndicated house radio shows globally. Promos submitted and featured here get extraordinary reach for an unknown.,https://cr2records.com/radio/; https://cr2records.com/contact/,medium,2026-06-01
Kaluki Radio,radio,free,podcast (Apple Podcasts) / SoundCloud,tech house; house; techno,email,info@kaluki.co.uk,"Include a SoundCloud or streaming link to your track or mix | Keep the pitch concise — who you are, what you're sending | Original tech house/house productions",Dedicated tech house fanbase; Apple Podcasts; global streaming; Ibiza presence,"Kaluki is a Manchester-based independent tech house label and events brand (est. 2006) whose weekly radio podcast is an established community touchpoint. Reaching the label via info@kaluki.co.uk is a direct line to label boss Pirate Copy, who runs the show.",https://www.kaluki.co.uk/; https://podcasts.apple.com/us/podcast/kaluki-radio/id1436583791,medium,2026-06-01
Glitterbox Radio,radio,free,web / Mixcloud / podcast,house; disco house; soulful house; classic house,portal,https://www.labelradar.com/labels/glitterbox/portal,Submit via LabelRadar at labelradar.com/labels/glitterbox/portal | Streaming link with download option | Brief bio and social links | Track should fit Glitterbox's disco/house/soulful aesthetic,Defected network audience; Mixcloud/SoundCloud; BBC Radio 1 Dance collaborations; global reach,"Glitterbox Radio (run by Simon Dunmore / Defected sub-brand) is a weekly show celebrating the best in house, disco and dance music, broadcast globally. Submitting via the Defected/LabelRadar portal is the documented route for getting tracks considered for Glitterbox Radio airplay.",https://www.labelradar.com/labels/glitterbox/portal; https://defected.com/glitterbox; https://www.ibiza-spotlight.com/magazine/2025/06/glitterbox-and-bbc-radio-1-dance-x-reel-house-music-legends-30th-anniversary,high,2026-06-01
Selected.,youtube,free,YouTube / SoundCloud / Spotify,house; deep house; melodic house,form,inbox@selectedbase.com,"Streamable links only (SoundCloud, YouTube, Dropbox, Google Drive) | Unreleased tracks preferred | Do not chase for a response",Multiple millions of YouTube plays; large SoundCloud following,Berlin-founded music blog and label with millions of YouTube views; curates high-quality house tracks for an engaged electronic audience and accepts demos directly from unknowns via its submit page.,https://selectedbase.com/submit; https://www.youtube.com/channel/UCFZ75Bg73NJnJgmeUX9l62g,high,2026-06-01
MrRevillz,youtube,paid,YouTube / SoundCloud / Spotify,house; deep house; dance; electronic,portal,info@MrRevillz.com,"Submit via the portal (not email for tracks) | Receive email updates on verdict | House, dance, and electronic genres",3M+ YouTube subscribers; 2B+ total views,One of the most established house/dance YouTube channels with 3M+ subscribers and 2B+ total views; runs a dedicated submission portal with feedback to all submitters — very accessible for unknowns.,https://music.mrrevillz.com/Submissions; https://www.submithub.com/blog/mrrevillz; https://www.youtube.com/channel/UCd3TI79UTgYvVEq5lTnJ4uQ,high,2026-06-01
House Nation,youtube,free,YouTube / SoundCloud,house; tech house; deep house,portal,dylan@nations.io,"Submit via LabelRadar portal | House, tech house, and adjacent electronic genres",~3.92M YouTube subscribers; 1B+ total views,Premier YouTube destination for cutting-edge house music with ~3.9M subscribers and daily uploads; accepts music submissions via LabelRadar portal — one of the clearest open submission routes for independent house producers.,https://www.labelradar.com/labels/housenation/profile; https://www.youtube.com/channel/UCj_Y-xJ2DRDGP4ilfzplCOQ; https://youtube.fandom.com/wiki/House_Nation,high,2026-06-01
The Vibe Guide,youtube,free,YouTube / SoundCloud,house; deep house; indie dance; nu disco; electronic,portal,tvgsubmissions@gmail.com,"House, electronic, indie dance, nu disco, downtempo genres | Submit via portal or email",Large established YouTube audience; active since 2012,One of the leading music curators on YouTube since 2012 with a multi-genre scope including house; maintains an open submission portal and email specifically for track submissions by artists at any level.,https://thevibeguide.net/contact/; https://submit.thevibeguide.net/; https://www.submithub.com/blog/the-vibe-guide,high,2026-06-01
La Belle Musique,youtube,paid,YouTube / SoundCloud / Spotify / Twitch,house; deep house; chill house; melodic,portal,rubin@labellemusique.co,"Submit via Groover (fee-based per submission) | Beautiful, chill, soulful house vibes preferred | Curators are described as 'very selective'",Millions of YouTube views; active on SoundCloud and Spotify,"Active since 2013, creates visually immersive house music compilations with large YouTube and SoundCloud audiences; accepts track submissions via Groover (paid, transparent) with a direct promo email as a fallback.",https://groover.co/en/influencer/profile/0.la-belle-musique/; https://www.youtube.com/channel/UCXKr4vbqJkg4cXmdvaAEjYw; https://www.submithub.com/blog/la-belle-musique,high,2026-06-01
Suprafive Music,youtube,paid,YouTube / SoundCloud / Spotify,house; deep house; melodic house; electronic,portal,simeon@suprafivemusic.com,"Submit via SubmitHub (credits required) | House, deep house, melodic electronic genres | Quality-focused; limited upload volume",Individual tracks/remixes with 20M–40M YouTube views; active Spotify playlist,"Quality-over-quantity YouTube music blog/label with tracks hitting tens of millions of plays; accepts demos via SubmitHub (credits-based, transparent feedback) and direct email — approachable for unknowns.",https://www.submithub.com/blog/suprafive-music; https://www.youtube.com/c/suprafive; https://soundcloud.com/suprafive,high,2026-06-01
Future House Cloud,youtube,free,YouTube / SoundCloud / Spotify,future house; deep house; house,portal,contact@futurehousecloud.com,Future house and deep house genres | Submit via LabelRadar or email,Active YouTube and SoundCloud channel; Spotify playlisting via SubmitHub,"Independent YouTube label and promo channel focused on future and deep house for emerging artists; has a LabelRadar submission portal and contact email, making it fully open to unknowns.",https://www.labelradar.com/labels/futurehousecloud/profile; https://www.youtube.com/channel/UCO0sfpPwj3PGVVH_jiqBA6A; https://soundcloud.com/future-house-cloud,high,2026-06-01
Artist Intelligence Agency (AIA),repost-network,free,SoundCloud / Spotify / YouTube,house; deep house; electronic; EDM,portal,https://www.labelradar.com/labels/aia/portal,"Submit via LabelRadar portal | House, deep house, electronic genres","Multiple SoundCloud brand accounts with millions of combined followers across EDM, DeepSounds, IvoryOasis, Future, and other brand channels","Operates a matrix of multiple SoundCloud tastemaker brand accounts (EDM, DeepSounds, IvoryOasis, Future, etc.) with millions of combined followers; open demo submissions via LabelRadar portal giving unknowns direct access to a wide repost network.",https://www.labelradar.com/labels/aia/portal; https://soundcloud.com/aiagency; https://www.submithub.com/label/artist-intelligence-agency,high,2026-06-01
Proximity,youtube,free,YouTube / Spotify,melodic house; melodic techno; progressive house; electronic,portal,https://demos.prxmusic.com/,"Electronic, melodic house, melodic techno, progressive house | Submit via demos.prxmusic.com | High competition: approximately 1-in-500 acceptance rate | Do not send unfinished tracks; avoid multiple submissions per week",9M YouTube subscribers; 243K Spotify followers; 513 label releases across three labels,One of the largest electronic music YouTube channels globally (9M subscribers); runs three labels and accepts demos via a dedicated portal — a massive reach platform for melodic and progressive house tracks.,https://www.prxmusic.com/; https://demos.prxmusic.com/; https://www.youtube.com/channel/UC3ifTl5zKiCAhHIBQYcaTeg,medium,2026-06-01
Tech Me Home,youtube,paid,YouTube / Spotify / SoundCloud,tech house; house; deep house; techno,form,contact@techmehomechannel.com,"Tech house, house, deep house, techno genres | Complete the submissions form on their website | Response within 48-72 hours",Active growing YouTube and Spotify promotion channel for underground electronic music,Dedicated tech house and house promotion channel with an explicit open submission form and a 48-72 hour response commitment — one of the most accessible and responsive channels in the tech house space for emerging artists.,https://www.techmehomechannel.com/submit-your-song; https://www.techmehomechannel.com/,high,2026-06-01
RepostExchange,repost-network,freemium,SoundCloud,house; tech house; deep house; electronic,portal,https://repostexchange.com/,"Connect SoundCloud account | Select a public track and choose target genres including house and tech house | Earn credits by reposting others, or purchase credits | New members get 30 free credits (approx 3,000 SoundCloud user reach)",Thousands of active SoundCloud members; algorithm targets genre-matched audiences,"Official SoundCloud partner platform (as of Q1 2026) providing free, genre-targeted SoundCloud reposts via a credit economy — the most accessible organic repost tool for any unknown house/tech house producer with a SoundCloud account.",https://repostexchange.com/welcome; https://repostexchange.com/managed-campaigns,high,2026-06-01
